detect_id,frame_id,local_id,x,y,w,h
1,5271,0,1617.00,429.00,303.00,651.00
1,5272,1,1617.80,429.80,302.20,650.20
1,5273,2,1614.10,428.41,305.90,651.59
1,5274,3,1615.95,427.17,304.05,652.83
1,5275,4,1617.41,429.07,302.59,650.93
1,5276,5,1617.17,429.74,302.83,650.26
1,5277,6,1614.26,425.73,305.74,654.27
1,5278,7,1614.61,422.93,305.39,657.07
1,5279,8,1614.76,423.99,305.24,656.01
1,5280,9,1614.83,425.79,305.17,654.21
1,5281,10,1613.52,431.20,306.48,648.80
1,5282,11,1615.72,429.86,304.28,650.14
1,5283,12,1616.57,430.69,303.43,649.31
1,5284,13,1616.21,430.32,303.79,649.68
1,5285,14,1618.07,434.17,301.93,645.83
1,5286,15,1619.44,430.94,300.56,649.06
1,5287,16,1621.27,433.69,298.73,646.31
1,5288,17,1621.94,435.38,298.06,644.62
1,5289,18,1620.84,435.34,299.16,644.66
1,5290,19,1620.41,435.96,299.59,644.04
1,5291,20,1619.57,442.80,300.43,637.20
1,5292,21,1619.24,447.35,300.76,632.65
1,5293,22,1618.45,445.00,301.55,635.00
1,5294,23,1617.49,444.08,302.51,635.92
1,5295,24,1616.47,445.01,303.53,634.99
1,5296,25,1618.07,439.36,301.93,640.64
1,5297,26,1618.02,432.60,301.98,647.40
1,5298,27,1618.00,442.54,302.00,637.46
1,5299,28,1618.00,441.05,302.00,638.95
1,5300,29,1618.65,446.42,301.35,633.58
1,5301,30,1619.56,448.44,300.44,631.56
1,5302,31,1618.58,446.51,301.42,633.49
1,5303,32,1618.21,444.42,301.79,635.58
1,5304,33,1618.72,445.60,301.28,634.40
1,5305,34,1618.26,442.05,301.74,637.95
1,5306,35,1618.74,440.71,301.26,639.29
1,5307,36,1617.60,444.16,302.40,635.84
1,5308,37,1617.84,444.81,302.16,635.19
1,5309,38,1619.25,447.69,300.75,632.31
1,5310,39,1620.44,445.45,299.56,634.55
1,5311,40,1620.89,442.60,299.11,637.40
1,5312,41,1620.39,441.52,299.61,638.48
1,5313,42,1620.85,443.10,299.15,636.90
1,5314,43,1621.68,443.70,298.32,636.30
1,5315,44,1620.66,442.60,299.34,637.40
1,5316,45,1619.61,443.51,300.39,636.49
1,5317,46,1619.20,441.21,300.80,638.79
1,5318,47,1618.39,442.32,301.61,637.68
1,5319,48,1618.75,438.78,301.25,641.22
1,5320,49,1617.57,441.41,302.43,638.59
1,5321,50,1617.13,440.44,302.87,639.56
1,5322,51,1617.63,442.72,302.37,637.28
1,5323,52,1618.48,444.25,301.52,635.75
1,5324,53,1618.15,443.50,301.85,636.50
1,5325,54,1617.37,443.21,302.63,636.79
1,5326,55,1617.73,443.10,302.27,636.90
1,5327,56,1618.54,443.05,301.46,636.95
1,5328,57,1618.85,444.35,301.15,635.65
1,5329,58,1619.62,442.86,300.38,637.14
1,5330,59,1619.25,444.93,300.75,635.07
1,5331,60,1619.11,447.04,300.89,632.96
1,5332,61,1619.05,443.85,300.95,636.15
1,5333,62,1619.03,445.28,300.97,634.72
1,5334,63,1618.36,445.16,301.64,634.84
